split,explainer,top_features,summary_text
split_001_2015-03-31_2017-06-28,GradientExplainer,"['MACD (12, 26)', '1-day log return', '20-day momentum', '60-day return volatility', '10-day return volatility']","Across the explained rows, the DNN was mostly influenced by MACD (12, 26), 1-day log return, 20-day momentum, 60-day return volatility, and 10-day return volatility."
split_002_2015-06-30_2017-09-27,GradientExplainer,"['20-day return volatility', '14-day RSI', '10-day average return', '60-day momentum', 'MACD histogram']","Across the explained rows, the DNN was mostly influenced by 20-day return volatility, 14-day RSI, 10-day average return, 60-day momentum, and MACD histogram."
split_003_2015-09-29_2017-12-27,GradientExplainer,"['60-day return volatility', 'MACD signal (9)', 'MACD (12, 26)', '20-day return volatility', 'Volume change']","Across the explained rows, the DNN was mostly influenced by 60-day return volatility, MACD signal (9), MACD (12, 26), 20-day return volatility, and Volume change."
split_004_2015-12-29_2018-03-29,GradientExplainer,"['10-day momentum', 'MACD histogram', 'Trading volume', '20-day momentum', '5-day momentum']","Across the explained rows, the DNN was mostly influenced by 10-day momentum, MACD histogram, Trading volume, 20-day momentum, and 5-day momentum."
split_005_2016-03-31_2018-06-28,GradientExplainer,"['MACD signal (9)', '20-day return volatility', '10-day average return', '20-day momentum', '60-day momentum']","Across the explained rows, the DNN was mostly influenced by MACD signal (9), 20-day return volatility, 10-day average return, 20-day momentum, and 60-day momentum."
split_006_2016-06-29_2018-09-27,GradientExplainer,"['14-day RSI', '10-day average return', '20-day momentum', 'MACD (12, 26)', '10-day momentum']","Across the explained rows, the DNN was mostly influenced by 14-day RSI, 10-day average return, 20-day momentum, MACD (12, 26), and 10-day momentum."
split_007_2016-09-28_2018-12-28,GradientExplainer,"['MACD signal (9)', '20-day return volatility', '60-day average return', '60-day return volatility', '20-day momentum']","Across the explained rows, the DNN was mostly influenced by MACD signal (9), 20-day return volatility, 60-day average return, 60-day return volatility, and 20-day momentum."
split_008_2016-12-28_2019-04-01,GradientExplainer,"['MACD signal (9)', '20-day momentum', '10-day return volatility', '10-day average return', '60-day return volatility']","Across the explained rows, the DNN was mostly influenced by MACD signal (9), 20-day momentum, 10-day return volatility, 10-day average return, and 60-day return volatility."
split_009_2017-03-30_2019-07-01,GradientExplainer,"['14-day RSI', '10-day average return', '1-day log return', '5-day return volatility', '10-day momentum']","Across the explained rows, the DNN was mostly influenced by 14-day RSI, 10-day average return, 1-day log return, 5-day return volatility, and 10-day momentum."
split_010_2017-06-29_2019-09-30,GradientExplainer,"['Volume change', '5-day momentum', '5-day average return', '20-day momentum', '60-day momentum']","Across the explained rows, the DNN was mostly influenced by Volume change, 5-day momentum, 5-day average return, 20-day momentum, and 60-day momentum."
split_011_2017-09-28_2019-12-30,GradientExplainer,"['14-day RSI', '10-day average return', '10-day momentum', '60-day average return', '20-day average return']","Across the explained rows, the DNN was mostly influenced by 14-day RSI, 10-day average return, 10-day momentum, 60-day average return, and 20-day average return."
split_012_2017-12-28_2020-03-31,GradientExplainer,"['20-day return volatility', '10-day return volatility', '60-day return volatility', '5-day return volatility', '5-day momentum']","Across the explained rows, the DNN was mostly influenced by 20-day return volatility, 10-day return volatility, 60-day return volatility, 5-day return volatility, and 5-day momentum."
split_013_2018-04-02_2020-06-30,GradientExplainer,"['60-day return volatility', '60-day momentum', '20-day return volatility', '60-day average return', 'MACD histogram']","Across the explained rows, the DNN was mostly influenced by 60-day return volatility, 60-day momentum, 20-day return volatility, 60-day average return, and MACD histogram."
split_014_2018-06-29_2020-09-29,GradientExplainer,"['60-day average return', 'MACD (12, 26)', '60-day momentum', 'MACD histogram', 'MACD signal (9)']","Across the explained rows, the DNN was mostly influenced by 60-day average return, MACD (12, 26), 60-day momentum, MACD histogram, and MACD signal (9)."
split_015_2018-09-28_2020-12-29,GradientExplainer,"['60-day average return', 'MACD (12, 26)', '10-day momentum', '20-day average return', '10-day average return']","Across the explained rows, the DNN was mostly influenced by 60-day average return, MACD (12, 26), 10-day momentum, 20-day average return, and 10-day average return."
split_016_2018-12-31_2021-03-31,GradientExplainer,"['60-day average return', '60-day momentum', 'MACD signal (9)', '20-day average volume', '1-day log return']","Across the explained rows, the DNN was mostly influenced by 60-day average return, 60-day momentum, MACD signal (9), 20-day average volume, and 1-day log return."
split_017_2019-04-02_2021-06-30,GradientExplainer,"['1-day log return', '5-day return volatility', '5-day momentum', '1-day simple return', 'MACD signal (9)']","Across the explained rows, the DNN was mostly influenced by 1-day log return, 5-day return volatility, 5-day momentum, 1-day simple return, and MACD signal (9)."
split_018_2019-07-02_2021-09-29,GradientExplainer,"['10-day return volatility', '1-day log return', '20-day average volume', '1-day simple return', '5-day average return']","Across the explained rows, the DNN was mostly influenced by 10-day return volatility, 1-day log return, 20-day average volume, 1-day simple return, and 5-day average return."
split_019_2019-10-01_2021-12-29,GradientExplainer,"['20-day momentum', '20-day average return', 'MACD histogram', 'MACD (12, 26)', '10-day average return']","Across the explained rows, the DNN was mostly influenced by 20-day momentum, 20-day average return, MACD histogram, MACD (12, 26), and 10-day average return."
split_020_2019-12-31_2022-03-30,GradientExplainer,"['5-day momentum', '20-day average volume', 'MACD histogram', '10-day average return', 'MACD signal (9)']","Across the explained rows, the DNN was mostly influenced by 5-day momentum, 20-day average volume, MACD histogram, 10-day average return, and MACD signal (9)."
split_021_2020-04-01_2022-06-30,GradientExplainer,"['5-day momentum', 'MACD (12, 26)', '20-day average return', '60-day average return', '10-day average return']","Across the explained rows, the DNN was mostly influenced by 5-day momentum, MACD (12, 26), 20-day average return, 60-day average return, and 10-day average return."
split_022_2020-07-01_2022-09-29,GradientExplainer,"['10-day momentum', '10-day average return', '1-day simple return', 'MACD histogram', '20-day average return']","Across the explained rows, the DNN was mostly influenced by 10-day momentum, 10-day average return, 1-day simple return, MACD histogram, and 20-day average return."
split_023_2020-09-30_2022-12-29,GradientExplainer,"['10-day momentum', '60-day return volatility', '10-day average return', '20-day average return', 'MACD signal (9)']","Across the explained rows, the DNN was mostly influenced by 10-day momentum, 60-day return volatility, 10-day average return, 20-day average return, and MACD signal (9)."
split_024_2020-12-30_2023-03-31,GradientExplainer,"['60-day momentum', '10-day average return', 'Trading volume', '10-day momentum', '14-day RSI']","Across the explained rows, the DNN was mostly influenced by 60-day momentum, 10-day average return, Trading volume, 10-day momentum, and 14-day RSI."
split_025_2021-04-01_2023-07-03,GradientExplainer,"['60-day average return', '60-day momentum', '10-day return volatility', '20-day average return', '5-day return volatility']","Across the explained rows, the DNN was mostly influenced by 60-day average return, 60-day momentum, 10-day return volatility, 20-day average return, and 5-day return volatility."
split_026_2021-07-01_2023-10-02,GradientExplainer,"['20-day return volatility', '20-day average return', '60-day momentum', '60-day return volatility', '14-day RSI']","Across the explained rows, the DNN was mostly influenced by 20-day return volatility, 20-day average return, 60-day momentum, 60-day return volatility, and 14-day RSI."
split_027_2021-09-30_2024-01-02,GradientExplainer,"['MACD signal (9)', '20-day average return', '20-day momentum', '14-day RSI', 'MACD (12, 26)']","Across the explained rows, the DNN was mostly influenced by MACD signal (9), 20-day average return, 20-day momentum, 14-day RSI, and MACD (12, 26)."
split_028_2021-12-30_2024-04-03,GradientExplainer,"['10-day return volatility', '60-day momentum', '60-day average return', '1-day log return', '60-day return volatility']","Across the explained rows, the DNN was mostly influenced by 10-day return volatility, 60-day momentum, 60-day average return, 1-day log return, and 60-day return volatility."
split_029_2022-03-31_2024-07-03,GradientExplainer,"['60-day return volatility', 'Volume change', '14-day RSI', '5-day momentum', '5-day average return']","Across the explained rows, the DNN was mostly influenced by 60-day return volatility, Volume change, 14-day RSI, 5-day momentum, and 5-day average return."
split_030_2022-07-01_2024-10-02,GradientExplainer,"['5-day average return', '10-day average return', '5-day momentum', '20-day return volatility', '10-day momentum']","Across the explained rows, the DNN was mostly influenced by 5-day average return, 10-day average return, 5-day momentum, 20-day return volatility, and 10-day momentum."
split_031_2022-09-30_2025-01-02,GradientExplainer,"['14-day RSI', '10-day average return', '10-day return volatility', '60-day momentum', '5-day return volatility']","Across the explained rows, the DNN was mostly influenced by 14-day RSI, 10-day average return, 10-day return volatility, 60-day momentum, and 5-day return volatility."
split_032_2022-12-30_2025-04-04,GradientExplainer,"['60-day average return', '20-day momentum', '1-day log return', '20-day average return', '10-day momentum']","Across the explained rows, the DNN was mostly influenced by 60-day average return, 20-day momentum, 1-day log return, 20-day average return, and 10-day momentum."
